ID,LUCODES_IDENTIFIER,CODE_TYPE,CODE_NAME,ABBREVIATION,DESCRIPTION,SORT_ORDER,R_SEG,CY
1,4495894.0,RESOURCE_TYPE,"Crew, Camp",CRC,"Crew, Camp",35.0,,2017.0
2,4495895.0,SIT209_REPORT_RESOURCE_GROUP,CREWS-AUTOSIT,,CREWS-AUTOSIT,11.0,,2017.0
3,4495896.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 5 Incident,,Typically one or two resources and up to six personnel assigned.,10.0,,2017.0
4,4495897.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 4 Incident,,Several resources required.  Control typically achieved in one operational period.,20.0,,2017.0
5,4495898.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 3 Incident,,Incident may extend into several operational periods. A Type 3 Team may be assigned.  A significant number of resources may be assigned.,30.0,,2017.0
6,4495899.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 2 Incident,,Exceeds the local control capability.  May require non-local resources to manage incident.  Most Command and General Staff positions are filled.  A written IAP is required.  Operations personnel usually do not exceed 200 per operational period.,40.0,,2017.0
7,4495900.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 1 Incident,,"Highest complexity incident, requiring national resources to manage incident.  All Command and General Staff positions activated.  Operations personnel exceeds 500 per operational period.  High impact to local jurisdiction.",50.0,,2017.0
8,4495901.0,IRWIN_RESOURCE_TYPE,"Crew, Camp",,"Crew, Camp",49.0,,2017.0
9,4495902.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 5",,"Tractor Plow, Type 5",35.0,,2017.0
10,4495903.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 6",,"Tractor Plow, Type 6",36.0,,2017.0
11,4495904.0,RESOURCE_TYPE,"Tractor Plow, Type 5",TPL5,"Tractor Plow, Type 5",310.0,,2017.0
12,4495905.0,RESOURCE_TYPE,"Tractor Plow, Type 6",TPL6,"Tractor Plow, Type 6",320.0,,2017.0
13,4495906.0,NORTH_AMERICAN_TIME_ZONE,Canada/Atlantic,AST/ADT,Canada/Atlantic (AST/ADT),12.0,,2017.0
14,4495907.0,NORTH_AMERICAN_TIME_ZONE,Canada/Eastern,EST/EDT,Canada/Eastern (EST/EDT),13.0,,2017.0
15,4495908.0,NORTH_AMERICAN_TIME_ZONE,Canada/Central,CST/CDT,Canada/Central (CST/CDT),14.0,,2017.0
16,4495909.0,MATERIAL_INVOLVEMENT_TYPE,Short Grass (1 foot),SG,,1.0,,2017.0
17,4495910.0,MATERIAL_INVOLVEMENT_TYPE,Timber (Grass and Understory),T/GU,,2.0,,2017.0
18,4495911.0,MATERIAL_INVOLVEMENT_TYPE,Tall Grass (2.5 feet),TG,,3.0,,2017.0
19,4495912.0,MATERIAL_INVOLVEMENT_TYPE,Chaparral (6 feet),CH,,4.0,,2017.0
20,4495913.0,MATERIAL_INVOLVEMENT_TYPE,Brush (2 feet),BR,,5.0,,2017.0
21,4495914.0,MATERIAL_INVOLVEMENT_TYPE,"Dormant Brush, Hardwood Slash",DB/HS,,6.0,,2017.0
22,4495915.0,MATERIAL_INVOLVEMENT_TYPE,Southern Rough,SR,,7.0,,2017.0
23,4495916.0,MATERIAL_INVOLVEMENT_TYPE,Closed Timber Litter,CTL,,8.0,,2017.0
24,4495917.0,MATERIAL_INVOLVEMENT_TYPE,Hardwood Litter,HL,,9.0,,2017.0
25,4495918.0,MATERIAL_INVOLVEMENT_TYPE,Timber (Litter and Understory),T/LU,,10.0,,2017.0
26,4495919.0,MATERIAL_INVOLVEMENT_TYPE,Light Logging Slash,LLS,,11.0,,2017.0
27,4495920.0,MATERIAL_INVOLVEMENT_TYPE,Medium Logging Slash,MLS,,12.0,,2017.0
28,4495921.0,MATERIAL_INVOLVEMENT_TYPE,Heavy Logging Slash,HLS,,13.0,,2017.0
29,4495922.0,INCIDENT_SIZE_UOM,Acres,ACRES,,1.0,,2017.0
30,4495923.0,INCIDENT_SIZE_UOM,Hectares,HECTARES,,2.0,,2017.0
31,4495924.0,INCIDENT_SIZE_UOM,Square Kilometers,SQ KM,,3.0,,2017.0
32,4495925.0,INCIDENT_SIZE_UOM,Square Miles,SQ MILES,,4.0,,2017.0
33,4495926.0,INCIDENT_SIZE_UOM,City Blocks,CB,,5.0,,2017.0
34,4495927.0,INCIDENT_SIZE_UOM,Multiple City Blocks,MCB,,6.0,,2017.0
35,4495928.0,NORTH_AMERICAN_TIME_ZONE,US/Eastern,EST/EDT,US/Eastern (EST/EDT),1.0,,2017.0
36,4495929.0,NORTH_AMERICAN_TIME_ZONE,Canada/Saskatchewan,CST,Canada/Saskatchewan (CST),16.0,,2017.0
37,4495930.0,NORTH_AMERICAN_TIME_ZONE,Canada/Mountain,MST/MDT,Canada/Mountain (MST/MDT),17.0,,2017.0
38,4495931.0,NORTH_AMERICAN_TIME_ZONE,Canada/Pacific,PST/PDT,Canada/Pacific (PST/PDT),18.0,,2017.0
39,4495932.0,NORTH_AMERICAN_TIME_ZONE,Canada/Yukon,PST/PDT,Canada/Yukon (PST/PDT),19.0,,2017.0
40,4495933.0,NORTH_AMERICAN_TIME_ZONE,Mexico/General,CST/CDT,Mexico/General (CST/CDT),20.0,,2017.0
41,4495934.0,NORTH_AMERICAN_TIME_ZONE,Mexico/BajaSur,MST/MDT,Mexico/BajaSur (MST/MDT),21.0,,2017.0
42,4495935.0,NORTH_AMERICAN_TIME_ZONE,Mexico/BajaNorte,PST/PDT,Mexico/BajaNorte (PST/PDT),22.0,,2017.0
43,4495936.0,IRWIN_RESOURCE_KIND,Aircraft,,Aircraft,1.0,,2017.0
44,4495937.0,CONTAINED_COMPLETE_UOM,Percent,PCT,,1.0,,2017.0
45,4495938.0,CONTAINED_COMPLETE_UOM,PA,MMA,,2.0,,2017.0
46,4495939.0,RESOURCE_TYPE,Air Supply Truck,ASTR,Air Supply Truck,1010.0,,2017.0
47,4495940.0,IRWIN_RESOURCE_KIND,Equipment,,Equipment,2.0,,2017.0
48,4496271.0,RESOURCE_TYPE,"Canine, Narcotics",K9N,"Canine, Narcotics",1080.0,,2017.0
49,4496272.0,RESOURCE_TYPE,"Canine, Police",K9PU,"Canine, Police",1090.0,,2017.0
50,4496273.0,RESOURCE_TYPE,Canine Search Team,K9SAR,Canine Search Team,1100.0,,2017.0
51,4496274.0,RESOURCE_TYPE,Crash Rescue (Aircraft),CFR,Crash Rescue (Aircraft),1120.0,,2017.0
52,4496275.0,RESOURCE_TYPE,"Fixed Wing, Air Tactical",FWAT,"Fixed Wing, Air Tactical",162.0,,2017.0
53,4496276.0,RESOURCE_TYPE,"Fixed Wing, ASM",ASM,"Fixed Wing, ASM",161.0,,2017.0
54,4496277.0,RESOURCE_TYPE,"Fixed Wing, LEAD",LEAD,"Fixed Wing, LEAD",163.0,,2017.0
55,4496278.0,RESOURCE_TYPE,Illumination Unit (Lighting),ILAU,Illumination Unit (Lighting),1140.0,,2017.0
56,4496279.0,RESOURCE_TYPE,Mass Casualty Incident Trailer,MCIT,Mass Casualty Incident Trailer,1150.0,,2017.0
57,4496280.0,RESOURCE_TYPE,Masticator,MAST,Masticator,1160.0,,2017.0
58,4496281.0,RESOURCE_TYPE,Mobile Kitchen Unit,MKU,Mobile Kitchen Unit,181.0,,2017.0
59,4496282.0,RESOURCE_TYPE,Skidgine,SKID,Skidgine,1230.0,,2017.0
60,4496283.0,RESOURCE_TYPE,"Tender, Potable Water",WTDP,"Tender, Potable Water",261.0,,2017.0
61,4496284.0,RESOURCE_TYPE,"Tender, Water (Support)",WTDS,"Tender, Water (Support)",262.0,,2017.0
