ID,LUCODES_IDENTIFIER,CODE_TYPE,CODE_NAME,ABBREVIATION,DESCRIPTION,SORT_ORDER,R_SEG,CY
1,1535966.0,RESOURCE_TYPE,"Crew, Camp",CRC,"Crew, Camp",35.0,,2015.0
2,1535967.0,SIT209_REPORT_RESOURCE_GROUP,CREWS-AUTOSIT,,CREWS-AUTOSIT,11.0,,2015.0
3,1535968.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 5 Incident,,Typically one or two resources and up to six personnel assigned.,10.0,,2015.0
4,1535969.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 4 Incident,,Several resources required.  Control typically achieved in one operational period.,20.0,,2015.0
5,1535970.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 3 Incident,,Incident may extend into several operational periods. A Type 3 Team may be assigned.  A significant number of resources may be assigned.,30.0,,2015.0
6,1535971.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 2 Incident,,Exceeds the local control capability.  May require non-local resources to manage incident.  Most Command and General Staff positions are filled.  A written IAP is required.  Operations personnel usually do not exceed 200 per operational period.,40.0,,2015.0
7,1535972.0,FIRE_MGMT_COMPLEXITY_TYPE,Type 1 Incident,,"Highest complexity incident, requiring national resources to manage incident.  All Command and General Staff positions activated.  Operations personnel exceeds 500 per operational period.  High impact to local jurisdiction.",50.0,,2015.0
8,1535973.0,IRWIN_RESOURCE_TYPE,"Crew, Camp",,"Crew, Camp",49.0,,2015.0
9,1535974.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 5",,"Tractor Plow, Type 5",35.0,,2015.0
10,1535975.0,IRWIN_RESOURCE_TYPE,"Tractor Plow, Type 6",,"Tractor Plow, Type 6",36.0,,2015.0
11,1535976.0,RESOURCE_TYPE,"Tractor Plow, Type 5",TPL5,"Tractor Plow, Type 5",310.0,,2015.0
12,1535977.0,RESOURCE_TYPE,"Tractor Plow, Type 6",TPL6,"Tractor Plow, Type 6",320.0,,2015.0
13,1535978.0,NORTH_AMERICAN_TIME_ZONE,Canada/Atlantic,AST/ADT,Canada/Atlantic (AST/ADT),12.0,,2015.0
14,1535979.0,NORTH_AMERICAN_TIME_ZONE,Canada/Eastern,EST/EDT,Canada/Eastern (EST/EDT),13.0,,2015.0
15,1535980.0,NORTH_AMERICAN_TIME_ZONE,Canada/Central,CST/CDT,Canada/Central (CST/CDT),14.0,,2015.0
16,1535981.0,MATERIAL_INVOLVEMENT_TYPE,Short Grass (1 foot),SG,,1.0,,2015.0
17,1535982.0,MATERIAL_INVOLVEMENT_TYPE,Timber (Grass and Understory),T/GU,,2.0,,2015.0
18,1535983.0,MATERIAL_INVOLVEMENT_TYPE,Tall Grass (2.5 feet),TG,,3.0,,2015.0
19,1535984.0,MATERIAL_INVOLVEMENT_TYPE,Chaparral (6 feet),CH,,4.0,,2015.0
20,1535985.0,MATERIAL_INVOLVEMENT_TYPE,Brush (2 feet),BR,,5.0,,2015.0
21,1535986.0,MATERIAL_INVOLVEMENT_TYPE,"Dormant Brush, Hardwood Slash",DB/HS,,6.0,,2015.0
22,1535987.0,MATERIAL_INVOLVEMENT_TYPE,Southern Rough,SR,,7.0,,2015.0
23,1535988.0,MATERIAL_INVOLVEMENT_TYPE,Closed Timber Litter,CTL,,8.0,,2015.0
24,1535989.0,MATERIAL_INVOLVEMENT_TYPE,Hardwood Litter,HL,,9.0,,2015.0
25,1535990.0,MATERIAL_INVOLVEMENT_TYPE,Timber (Litter and Understory),T/LU,,10.0,,2015.0
26,1535991.0,MATERIAL_INVOLVEMENT_TYPE,Light Logging Slash,LLS,,11.0,,2015.0
27,1535992.0,MATERIAL_INVOLVEMENT_TYPE,Medium Logging Slash,MLS,,12.0,,2015.0
28,1535993.0,MATERIAL_INVOLVEMENT_TYPE,Heavy Logging Slash,HLS,,13.0,,2015.0
29,1535994.0,INCIDENT_SIZE_UOM,Acres,ACRES,,1.0,,2015.0
30,1535995.0,INCIDENT_SIZE_UOM,Hectares,HECTARES,,2.0,,2015.0
31,1535996.0,INCIDENT_SIZE_UOM,Square Kilometers,SQ KM,,3.0,,2015.0
32,1535997.0,INCIDENT_SIZE_UOM,Square Miles,SQ MILES,,4.0,,2015.0
33,1535998.0,INCIDENT_SIZE_UOM,City Blocks,CB,,5.0,,2015.0
34,1535999.0,INCIDENT_SIZE_UOM,Multiple City Blocks,MCB,,6.0,,2015.0
35,1536000.0,NORTH_AMERICAN_TIME_ZONE,US/Eastern,EST/EDT,US/Eastern (EST/EDT),1.0,,2015.0
36,1536001.0,NORTH_AMERICAN_TIME_ZONE,Canada/Saskatchewan,CST,Canada/Saskatchewan (CST),16.0,,2015.0
37,1536002.0,NORTH_AMERICAN_TIME_ZONE,Canada/Mountain,MST/MDT,Canada/Mountain (MST/MDT),17.0,,2015.0
38,1536003.0,NORTH_AMERICAN_TIME_ZONE,Canada/Pacific,PST/PDT,Canada/Pacific (PST/PDT),18.0,,2015.0
39,1536004.0,NORTH_AMERICAN_TIME_ZONE,Canada/Yukon,PST/PDT,Canada/Yukon (PST/PDT),19.0,,2015.0
40,1536005.0,NORTH_AMERICAN_TIME_ZONE,Mexico/General,CST/CDT,Mexico/General (CST/CDT),20.0,,2015.0
41,1536006.0,NORTH_AMERICAN_TIME_ZONE,Mexico/BajaSur,MST/MDT,Mexico/BajaSur (MST/MDT),21.0,,2015.0
42,1536007.0,NORTH_AMERICAN_TIME_ZONE,Mexico/BajaNorte,PST/PDT,Mexico/BajaNorte (PST/PDT),22.0,,2015.0
43,1536008.0,IRWIN_RESOURCE_KIND,Aircraft,,Aircraft,1.0,,2015.0
44,1536009.0,CONTAINED_COMPLETE_UOM,Percent,PCT,,1.0,,2015.0
45,1536010.0,CONTAINED_COMPLETE_UOM,PA,MMA,,2.0,,2015.0
46,1536011.0,RESOURCE_TYPE,Air Supply Truck,ASTR,Air Supply Truck,1010.0,,2015.0
47,1536012.0,IRWIN_RESOURCE_KIND,Equipment,,Equipment,2.0,,2015.0
48,1536013.0,IRWIN_RESOURCE_KIND,Crews,,Crews,3.0,,2015.0
49,1536014.0,IRWIN_RESOURCE_KIND,Overhead,,Overhead,4.0,,2015.0
50,1536015.0,IRWIN_RESOURCE_CATEGORY,Airtanker,,Airtanker,1.0,,2015.0
51,1536016.0,RESOURCE_TYPE,Hazardous Materials Unit,HAZU,Hazardous Materials Unit,1130.0,,2015.0
52,1536017.0,RESOURCE_TYPE,"Quint, Combination",QUINT,"Quint, Combination",1200.0,,2015.0
53,1536018.0,RESOURCE_TYPE,Medic Squad,MSQD,Medic Squad,1170.0,,2015.0
54,1536019.0,IRWIN_RESOURCE_CATEGORY,Boat,,Boat,2.0,,2015.0
55,1536020.0,IRWIN_RESOURCE_CATEGORY,Handcrew,,Handcrew,3.0,,2015.0
56,1536021.0,RESOURCE_TYPE,"Canine, Bomb Squad",K9BS,"Canine, Bomb Squad",1070.0,,2015.0
57,1536022.0,IRWIN_RESOURCE_CATEGORY,Dozer,,Dozer,4.0,,2015.0
58,1536023.0,RESOURCE_TYPE,Technical Rescue Team,TRT,Technical Rescue Team,1240.0,,2015.0
59,1536024.0,RESOURCE_TYPE,Alpine Rescue Team,MSAR,Alpine Rescue Team,1190.0,,2015.0
60,1536025.0,IRWIN_RESOURCE_CATEGORY,Engine,,Engine,5.0,,2015.0
61,1536026.0,IRWIN_RESOURCE_CATEGORY,Fixed Wing,,Fixed Wing,6.0,,2015.0
62,1536027.0,RESOURCE_TYPE,Cave Rescue Team,CRT,Cave Rescue Team,1110.0,,2015.0
63,1536028.0,RESOURCE_TYPE,Mine Rescue Team,MRT,Mine Rescue Team,1180.0,,2015.0
64,1536029.0,RESOURCE_TYPE,Underwater SAR,USRT,Underwater SAR,1280.0,,2015.0
65,1536030.0,IRWIN_RESOURCE_CATEGORY,Helicopter,,Helicopter,7.0,,2015.0
66,1536031.0,IRWIN_RESOURCE_CATEGORY,Heavy,,Heavy,8.0,,2015.0
67,1536032.0,RESOURCE_TYPE,Salvage Unit,SALU,Salvage Unit,1210.0,,2015.0
68,1536033.0,IRWIN_RESOURCE_CATEGORY,Single Resource,,Single Resource,9.0,,2015.0
69,1536034.0,IRWIN_RESOURCE_CATEGORY,Other Equipment,,Other Equipment,10.0,,2015.0
70,1536035.0,IRWIN_RESOURCE_CATEGORY,Watertender,,Watertender,11.0,,2015.0
71,1536036.0,IRWIN_RESOURCE_CATEGORY,Tractor Plow,,Tractor Plow,12.0,,2015.0
72,1536037.0,IRWIN_RESOURCE_TYPE,SEAT,,SEAT,1.0,,2015.0
73,1536038.0,RESOURCE_TYPE,Track Vehicle,TRVH,Track Vehicle,1250.0,,2015.0
74,1536039.0,RESOURCE_TYPE,"Tractor Plow, Type 1",TPL1,"Tractor Plow, Type 1",270.0,,2015.0
75,1536040.0,RESOURCE_TYPE,"Tractor Plow, Type 2",TPL2,"Tractor Plow, Type 2",280.0,,2015.0
76,1536041.0,RESOURCE_TYPE,"Tractor Plow, Type 3",TPL3,"Tractor Plow, Type 3",290.0,,2015.0
77,1536042.0,RESOURCE_TYPE,"Tractor Plow, Type 4",TPL4,"Tractor Plow, Type 4",300.0,,2015.0
78,1536043.0,CASUALTY_ILLNESS_TYPE,Other,OTH,,11.0,,2015.0
79,1536044.0,TIME_DURATION,Hours,HRS,,1.0,,2015.0
80,1536045.0,TIME_DURATION,Days,DAYS,,1.0,,2015.0
81,1536046.0,TIME_DURATION,Months,MONTHS,,2.0,,2015.0
82,1536047.0,TIME_DURATION,Quarters,QTRS,,3.0,,2015.0
83,1536048.0,TIME_DURATION,Years,YRS,,4.0,,2015.0
84,1536049.0,UTM_ZONE,UTM Zone 11,11,Zone Range: 120W - 114W      Central Meridian: 117W,11.0,,2015.0
85,1536050.0,UTM_ZONE,UTM Zone 12,12,Zone Range: 114W - 108W      Central Meridian: 111W,12.0,,2015.0
86,1536051.0,UTM_ZONE,UTM Zone 13,13,Zone Range: 108W - 102W      Central Meridian: 105W,13.0,,2015.0
87,1536052.0,UTM_ZONE,UTM Zone 14,14,Zone Range: 102W -  96W      Central Meridian:  99W,14.0,,2015.0
88,1536053.0,UTM_ZONE,UTM Zone 15,15,Zone Range:  96W -  90W      Central Meridian:  93W,15.0,,2015.0
89,1536054.0,UTM_ZONE,UTM Zone 16,16,Zone Range:  90W -  84W      Central Meridian:  87W,16.0,,2015.0
90,1536055.0,UTM_ZONE,UTM Zone 17,17,Zone Range:  84W -  78W      Central Meridian:  81W,17.0,,2015.0
91,1536056.0,UTM_ZONE,UTM Zone 18,18,Zone Range:  78W -  72W      Central Meridian:  75W,18.0,,2015.0
92,1536057.0,UTM_ZONE,UTM Zone 19,19,Zone Range:  72W -  66W      Central Meridian:  69W,19.0,,2015.0
93,1536058.0,UTM_ZONE,UTM Zone 20,20,Zone Range:  66W -  60W      Central Meridian:  63W,20.0,,2015.0
94,1536059.0,UTM_ZONE,UTM Zone 21,21,Zone Range:  60W -  54W      Central Meridian:  57W,21.0,,2015.0
